英文短語,中文翻譯,補充用法,例句
a recycling bin,資源回收桶,recycle v. 回收,She's emptying a recycling bin.
a computer monitor,電腦螢幕,monitor v. 監督,The new computer monitor will be installed in the accounting office this afternoon.
a shopping list,購物清單,,"Before going to the supermarket, Ms. Lin made a shopping list for the office party."
a glass door,一扇玻璃門,,Books have been piled up by a glass door.
a musical instrument,一件樂器,,The museum displays a musical instrument that was made more than two hundred years ago.
a kitchen stool,廚房矮凳,,A kitchen stool has been placed beside the counter.
a hot oven,高溫烤箱,,Please keep the bread away from a hot oven until the chef is ready to bake it.
an open umbrella,一把打開的傘,closed adj. 關閉、收起來的,A man is walking down the street with an open umbrella.
an outdoor pool,室外游泳池,,Guests at the hotel can use an outdoor pool during the summer season.
a legal dispute,法律糾紛,dispute v. 爭執,The company tried to settle a legal dispute before the case went to court.
an electrical outlet,電源插座,,Do not plug the printer into an electrical outlet that is already overloaded.
a tourist attraction,旅遊勝地,attract v. 吸引,The old train station has become a popular tourist attraction.
an expense report,支出報告,,Please submit an expense report within five business days after your trip.
an inspiring speech,鼓舞人心的演講,inspire v. 激勵,The CEO gave an inspiring speech at the annual staff meeting.
an ambitious goal,有野心的目標,ambition n. 野心、企圖,The marketing team set an ambitious goal for the next quarter.
an ideal environment,理想的環境,,The new library provides an ideal environment for students to study quietly.
an accomplished artist,造詣很高的藝術家,accomplish v. 完成,The gallery will feature an accomplished artist from Canada next month.
an inventory list,庫存清單,,Please update the inventory list before the warehouse closes today.
a sales receipt,銷售收據,receive v. 收到,Customers must show a sales receipt to return any item purchased this week.
a food critic,美食評論家,criticize v. 批評,A food critic praised the restaurant for its creative lunch menu.
a special occasion,特殊的場合,,The hotel restaurant is available for a special occasion such as a wedding anniversary.
a concert venue,音樂會場地,,The concert venue can accommodate more than two thousand people.
a production schedule,生產排程表,produce v. 生產、製造,The production schedule was revised because several parts arrived late.
a training workshop,培訓工作坊,,All new employees are required to attend a training workshop on Monday.
an impressive résumé,令人印象深刻的履歷,impress v. 使…印象深刻 impression n. 印象,The applicant submitted an impressive résumé with extensive sales experience.
an educational background,教育背景,educate v. 教育 education n. 教育,Please include your educational background at the top of the application form.
a marketing campaign,行銷活動,,The company launched a marketing campaign to introduce its newest product.
a sales presentation,銷售（口頭）報告,,Mr. Chen prepared a sales presentation for the meeting with potential clients.
a slideshow presentation,使用投影片的（口頭）報告,,Please send me the slideshow presentation before the conference begins.
a senior executive,高階主管,,A senior executive will visit the branch office next Thursday.
a medical journal,醫學期刊,medicine n. 醫學；藥物,The article was published in a medical journal last year.
an informative brochure,資訊豐富的手冊,information n. 資訊,Visitors can pick up an informative brochure at the reception desk.
a landscaping company,景觀設計公司,,The landscaping company will plant new trees around the office building.
an aisle seat,靠走道的座位,,I would prefer an aisle seat because I need to leave the plane quickly.
a small workforce,小規模的勞力,,The small workforce made it difficult to complete the project on time.
a banquet hall,宴會廳,,The banquet hall has been reserved for the company’s annual dinner.
a breathtaking view,令人嘆為觀止的景色,,The hotel room offers a breathtaking view of the harbor.
a cost comparison,成本比較,compare v. 比較,The manager requested a cost comparison before choosing a supplier.
a partial refund,部分退款,part n. 部分,The customer received a partial refund because one item was damaged.
an introductory course,入門課程,introduce v. 介紹 introduction n. 介紹,Students must complete an introductory course before taking advanced classes.
a diligent worker,勤奮的工人,,The supervisor praised him for being a diligent worker.
a staff transfer,員工調動,,The staff transfer will take effect at the beginning of next month.
an awards ceremony,頒獎典禮,,The awards ceremony will be held in the main auditorium on Friday.
a digital image,數位影像,,Please attach a digital image of the product to your report.
a $5 voucher,5 美元的優惠券,,Each customer will receive a $5 voucher for completing the survey.
a follow-up study,後續研究,,Researchers plan to conduct a follow-up study next spring.
a university campus,大學校園,,The company will open a new research center on a university campus.
an amusement park,遊樂園,amuse v. 使人開心,The amusement park offers discounted tickets for groups of twenty or more.
an eye doctor’s clinic,眼科醫生診所,,The eye doctor’s clinic is located on the second floor of the medical building.
a standard double room,標準雙人房,single room n. 單人房,I would like to reserve a standard double room for two nights.
